#|Id|Title|Description|
#|int|string|string|
|1|Want to be a BILLIONAIRE?!|Come and build your Wasteland!
|2|1 help request from Brenda!|ACCEPT✅ REFUSE❎
|3|Someone is stealing your money!😈😈|COME BACK TO CATCH THEM!!
|4|🎯 Did you UNLOCK the secret level?|Come now and become a Billionaire!
|5|The customers can't wait!|You need to HELP them now!
|6|🎡⛲️⛱🏖🏝🎢|COME BACK to enjoy the summer fun!
|7|NOTIFICATION❗️❗️|You have a new task from your BOSS.
|8|BOSS and SALLY?!|What should I do?!
|9|EMERGENCY❗️🆘|Annoying thief has entered your LAND!!!🥷🏻
|10|Someone is stealing your money!😈😈|COME BACK TO CATCH THEM!!
|11|❗️OMG❗️ What a mess!|COME BACK AND CLEAN YOUR MESS NOW!!
|12|What to wear on first date with boss?|🔲👗 🔲👙 🔲👚
|13|🆘🆘Not enough parking spaces!|Customers are crying for help!
|14|COME BACK!|Someone is stealing your money!😈😈
|15|📞Missed Call|from your boss
|16|❗️ What a mess|Your customers are fighting!
|17|Customers are crying for help!|Not enough tables! Update your restaurant now!
|18|Cool boss🧍‍♂️or sweet manager🧍🏽?|Make your pick now!
|19|GOOD DAY|Time to collect your money now!
|20|What to wear on first date with boss?|🔲👗 🔲👙 🔲👚
|21|❗️SOS❗️|The customers fighting! What should we do?
|22|🏄🏼‍♀️🏄🏻🏊🏽‍♀️🏊🏼‍♂️COME BACK!|New adventure for you on Wasteland Billionaire!
|23|Good afternoon⛱🏖🏝🎢|Customers are in chaos
|24|NOTIFICATION❗️❗️|You have a new task from your BOSS.
|25|Waiting for you:|A big amount of money need to claim!
|26|ARE YOU READY?|New MESSAGE from your Boss
|27|🆘WARNING 🆘WARNING|Thief is stealing your money!
|28|1 help request from Sally!|ACCEPT✅ REFUSE❎
|29|"I CAN‘T WAIT"😡😡😡|HELP YOUR CUSTOMERS NOW!!
|30|GOOD NIGHT⭐️🌙⭐️🌙|Will you help me clean the mess here?
|31|💰💰💰$1,000,000✅|GET IT NOW!!
|32|🔞🔞Sally and Charles?!|WHY?!
|33|"WE ARE STARVING"😵😵😵|OFFER YOUR CUSTOMERS some food now!!
|34|❗️WHAT A MESS❗️|Your customers are fighting!
|35|COME BACK!|Someone is stealing your money!😈😈
|36|Boss, can you take care of me?|SATISFY HER ✅  LEAVE HER ALONE ❎
|37|🆘🆘Not enough room in your hotel!|Customers are crying for help!
|38|COME BACK!|No one serve your customers in restaurant
|39|🔞🔞S*E*X on the beach|🎯 Did you UNLOCK this secret level?
|40|👩🏻‍🦰"Boss, I want to double my salary"|🧔🏻"Sure, but how would you thank me?!"
|41|🎡⛲️⛱🏖🏝🎢|COME BACK to enjoy the summer fun!
|42|🆘CAN YOU CATCH THE THIEF?🥷🏻|DON'T LET HIM GO
|43|Want to be a BILLIONAIRE?!|Come and build your Wasteland!
|44|Special offer for you!|Don't miss this exciting gift!
|45|Someone is stealing your money!😈😈|COME BACK TO CATCH THEM!!
|46|❗️Not enough waitresses❗️|Customers are crying for help!
|47|OMG HURRY❗️❗️|Collect your money before it is GONE!
|48|What to wear on first date with boss?|🔲👗 🔲👙 🔲👚
|49|Good morning!🌼|Wishing you a great day in Wasteland Billionaire!
|50|1 new notification|You have received a gift. Come to claim it!
|51|Leave your troubles away...|Have fun here! Start Now!
|52|Hey, hey, hey 👋🏻|It's time to come back to the game! Your customers need you 😎
|53|🆘 Please HELP ME 🆘|Thieves are taking over my land!
|54|OMG HURRY❗️❗️|Collect your money before it is GONE!
|55|New areas available!|Come and UNLOCK them!
|56|⚠️ Emergency Alert ⚠️|A thief has stolen your goods! Catch them now!
|57|🎁 Your amazing gift is on the way!|TAP TO CLAIM
|58|📦 Out for delivery|Your gift is almost here...CLAIM IT NOW!
|59|"I CAN‘T WAIT"😡😡😡|HELP YOUR CUSTOMERS NOW!!
|60|❗️LIMITED TIME❗️|Claim your cash before someone steals it!
|61|Special offer for you!|Don't miss this exciting gift!
|62|🆘 OOPS! I forgot my bikini...|Build a swimwear shop to avoid skinny-dippers! 🏊🏼‍♂️
|63|❗️❗️ Brenda spent all your money❗️❗️|Collect more before your BOSS finds out!
|64|1 help request from Brenda!|ACCEPT✅ REFUSE❎
|65|Someone is stealing your money!😈😈|COME BACK TO CATCH THEM!!
|66|💰💰💰$1,500,000✅|GET IT NOW!!
|67|🔞🔞Sally and Charles?!|WHY?!
|68|"WE ARE STARVING"😵😵😵|OFFER YOUR CUSTOMERS some food now!!
|69|COME BACK!|No one serve your customers in restaurant
|70|🆘 HELP WANTED 🆘|Need someone to collect this money 💰
|71|Bikini babes need your help! 👙|Hurry and assist them before they leave!
|72|COME BACK!|Someone is stealing your money!😈😈
|73|📞Missed Call|from your boss
|74|❗️ What a mess|Your customers are fighting!
|75|❗️LIMITED TIME❗️|Claim your cash before someone steals it!
|76|⚠️ Emergency Alert ⚠️|A thief has stolen your goods! Catch them now!
|77|🎁 Your amazing gift is on the way!|TAP TO CLAIM
|78|GOOD DAY|Time to collect your money now!
|79|What to wear on first date with boss?|🔲👗 🔲👙 🔲👚
|80|❗️SOS❗️|The customers fighting! What should we do?
|81|Special offer for you!|Don't miss this exciting gift!
|82|🆘 OOPS! I forgot my bikini...|Build a swimwear shop to avoid skinny-dippers! 🏊🏼‍♂️
|83|❗️❗️ Brenda spent all your money❗️❗️|Collect more before your BOSS finds out!
|84|🏄🏼‍♀️🏄🏻🏊🏽‍♀️🏊🏼‍♂️COME BACK!|New adventure for you on Wasteland Billionaire!
|85|Good afternoon⛱🏖🏝🎢|Your customers have been waiting all morning!
|86|NOTIFICATION❗️❗️|You have a new task from your BOSS.
|87|Waiting for you:|A big amount of money for you to claim!
|88|❗️Not enough waitresses❗️|Customers are crying for help!
|89|OMG HURRY❗️❗️|Collect your money before it is GONE!
|90|🆘🆘Not enough parking spaces!|Customers are crying for help!
|91|COME BACK!|Someone is stealing your money!😈😈
|92|📞Missed Call|from your boss
|93|🏄🏼‍♀️🏄🏻🏊🏽‍♀️🏊🏼‍♂️COME BACK!|New adventure for you on Wasteland Billionaire!